20240719-101249
Epoch 0/5 ,Loss 13.129,heat_loss_new 6.773,tv_loss 6.281,nps 0.075 
Epoch 0/5 ,Loss 11.680,heat_loss_new 5.339,tv_loss 6.266,nps 0.075 
Epoch 0/5 ,Loss 10.693,heat_loss_new 4.368,tv_loss 6.250,nps 0.075 
Epoch 0/5 ,Loss 11.319,heat_loss_new 5.009,tv_loss 6.235,nps 0.075 
Epoch 0/5 ,Loss 13.164,heat_loss_new 6.870,tv_loss 6.219,nps 0.075 
Epoch 0/5 ,Loss 11.354,heat_loss_new 5.076,tv_loss 6.203,nps 0.075 
Epoch 0/5 ,Loss 11.935,heat_loss_new 5.673,tv_loss 6.187,nps 0.074 
Epoch 0/5 ,Loss 11.984,heat_loss_new 5.738,tv_loss 6.171,nps 0.074 
Epoch 0/5 ,Loss 12.385,heat_loss_new 6.156,tv_loss 6.155,nps 0.074 
Epoch 0/5 ,Loss 11.002,heat_loss_new 4.789,tv_loss 6.139,nps 0.074 
Epoch 0/5 ,Loss 11.561,heat_loss_new 5.364,tv_loss 6.123,nps 0.074 
Epoch 0/5 ,Loss 11.718,heat_loss_new 5.537,tv_loss 6.107,nps 0.074 
Epoch 0/5 ,Loss 11.157,heat_loss_new 4.992,tv_loss 6.091,nps 0.074 
Epoch 0/5 ,Loss 12.347,heat_loss_new 6.198,tv_loss 6.075,nps 0.074 
Epoch 0/5 ,Loss 12.813,heat_loss_new 6.681,tv_loss 6.059,nps 0.074 
Epoch 0/5 ,Loss 10.710,heat_loss_new 4.593,tv_loss 6.043,nps 0.073 
Epoch 0/5 ,Loss 11.272,heat_loss_new 5.171,tv_loss 6.028,nps 0.073 
Epoch 0/5 ,Loss 11.468,heat_loss_new 5.383,tv_loss 6.012,nps 0.073 
Epoch 0/5 ,Loss 11.816,heat_loss_new 5.747,tv_loss 5.996,nps 0.073 
Epoch 0/5 ,Loss 13.696,heat_loss_new 7.643,tv_loss 5.981,nps 0.073 
Epoch 0/5 ,Loss 11.080,heat_loss_new 5.042,tv_loss 5.965,nps 0.073 
Epoch 0/5 ,Loss 11.208,heat_loss_new 5.186,tv_loss 5.950,nps 0.073 
Epoch 0/5 ,Loss 10.411,heat_loss_new 4.404,tv_loss 5.934,nps 0.073 
Epoch 0/5 ,Loss 10.090,heat_loss_new 4.099,tv_loss 5.918,nps 0.073 
Epoch 0/5 ,Loss 11.841,heat_loss_new 5.865,tv_loss 5.903,nps 0.072 
Epoch 0/5 ,Loss 11.136,heat_loss_new 5.176,tv_loss 5.888,nps 0.072 
Epoch 0/5 ,Loss 12.393,heat_loss_new 6.448,tv_loss 5.873,nps 0.072 
Epoch 0/5 ,Loss 11.458,heat_loss_new 5.528,tv_loss 5.858,nps 0.072 
Epoch 0/5 ,Loss 12.628,heat_loss_new 6.712,tv_loss 5.843,nps 0.072 
Epoch 0/5 ,Loss 11.364,heat_loss_new 5.463,tv_loss 5.829,nps 0.072 
Epoch 0/5 ,Loss 11.914,heat_loss_new 6.028,tv_loss 5.814,nps 0.072 
Epoch 0/5 ,Loss 11.182,heat_loss_new 5.310,tv_loss 5.800,nps 0.072 
Epoch 0/5 ,Loss 11.514,heat_loss_new 5.657,tv_loss 5.785,nps 0.072 
Epoch 0/5 ,Loss 11.127,heat_loss_new 5.284,tv_loss 5.771,nps 0.072 
Epoch 0/5 ,Loss 11.584,heat_loss_new 5.757,tv_loss 5.756,nps 0.071 
Epoch 0/5 ,Loss 10.998,heat_loss_new 5.186,tv_loss 5.741,nps 0.071 
Epoch 0/5 ,Loss 10.767,heat_loss_new 4.970,tv_loss 5.726,nps 0.071 
Epoch 0/5 ,Loss 11.390,heat_loss_new 5.607,tv_loss 5.711,nps 0.071 
Epoch 0/5 ,Loss 11.769,heat_loss_new 6.002,tv_loss 5.696,nps 0.071 
Epoch 0/5 ,Loss 11.258,heat_loss_new 5.507,tv_loss 5.681,nps 0.071 
Epoch 0/5 ,Loss 12.765,heat_loss_new 7.028,tv_loss 5.665,nps 0.071 
Epoch 0/5 ,Loss 10.156,heat_loss_new 4.435,tv_loss 5.650,nps 0.071 
Epoch 0/5 ,Loss 13.553,heat_loss_new 7.848,tv_loss 5.634,nps 0.071 
Epoch 0/5 ,Loss 11.774,heat_loss_new 6.085,tv_loss 5.619,nps 0.070 
Epoch 0/5 ,Loss 12.207,heat_loss_new 6.533,tv_loss 5.604,nps 0.070 
Epoch 0/5 ,Loss 10.658,heat_loss_new 4.999,tv_loss 5.589,nps 0.070 
Epoch 0/5 ,Loss 9.132,heat_loss_new 3.487,tv_loss 5.575,nps 0.070 
Epoch 0/5 ,Loss 11.459,heat_loss_new 5.828,tv_loss 5.560,nps 0.070 
Epoch 0/5 ,Loss 10.276,heat_loss_new 4.659,tv_loss 5.547,nps 0.070 
Epoch 0/5 ,Loss 10.210,heat_loss_new 4.607,tv_loss 5.533,nps 0.070 
Epoch 0/5 ,Loss 10.517,heat_loss_new 4.929,tv_loss 5.519,nps 0.070 
Epoch 0/5 ,Loss 12.569,heat_loss_new 6.994,tv_loss 5.505,nps 0.070 
Epoch 0/5 ,Loss 11.918,heat_loss_new 6.358,tv_loss 5.491,nps 0.070 
Epoch 0/5 ,Loss 11.334,heat_loss_new 5.786,tv_loss 5.478,nps 0.069 
Epoch 0/5 ,Loss 11.773,heat_loss_new 6.238,tv_loss 5.465,nps 0.069 
Epoch 0/5 ,Loss 10.989,heat_loss_new 5.467,tv_loss 5.452,nps 0.069 
Epoch 0/5 ,Loss 10.848,heat_loss_new 5.339,tv_loss 5.440,nps 0.069 
Epoch 0/5 ,Loss 11.227,heat_loss_new 5.730,tv_loss 5.427,nps 0.069 
Epoch 0/5 ,Loss 10.598,heat_loss_new 5.115,tv_loss 5.414,nps 0.069 
Epoch 0/5 ,Loss 12.095,heat_loss_new 6.625,tv_loss 5.402,nps 0.069 
Epoch 0/5 ,Loss 11.906,heat_loss_new 6.449,tv_loss 5.389,nps 0.069 
Epoch 0/5 ,Loss 11.831,heat_loss_new 6.386,tv_loss 5.376,nps 0.069 
Epoch 0/5 ,Loss 11.337,heat_loss_new 5.905,tv_loss 5.363,nps 0.069 
Epoch 0/5 ,Loss 10.661,heat_loss_new 5.243,tv_loss 5.349,nps 0.069 
Epoch 0/5 ,Loss 10.991,heat_loss_new 5.587,tv_loss 5.335,nps 0.069 
Epoch 0/5 ,Loss 10.915,heat_loss_new 5.525,tv_loss 5.321,nps 0.068 
Epoch 0/5 ,Loss 11.511,heat_loss_new 6.136,tv_loss 5.307,nps 0.068 
Epoch 0/5 ,Loss 11.910,heat_loss_new 6.548,tv_loss 5.294,nps 0.068 
Epoch 0/5 ,Loss 10.757,heat_loss_new 5.408,tv_loss 5.281,nps 0.068 
Epoch 0/5 ,Loss 10.942,heat_loss_new 5.606,tv_loss 5.267,nps 0.068 
Epoch 0/5 ,Loss 10.685,heat_loss_new 5.363,tv_loss 5.254,nps 0.068 
Epoch 0/5 ,Loss 9.824,heat_loss_new 4.514,tv_loss 5.241,nps 0.068 
Epoch 0/5 ,Loss 9.488,heat_loss_new 4.192,tv_loss 5.229,nps 0.068 
